№,P,#,Инфинитив,3 л. настоящего вр.,3 л. прошедшего однократного вр.,Вопрос,Перевод
394,,,balnoti,balnója,balnójo,,седлать
395,,,balsti,balsta,bãlo,,белеть (становиться белым)
396,,,balsuoti,balsúoja,balsãvo,,голосовать
397,,,baltėti,baltėja,baltėjo,,белеть (становиться белым)
398,,,balti,bą̃la,bãlo,,белеть (быть белым)
399,,,baltinti,baltinà,báltino,,белить (делать белым)
400,,,baltuoti,baltúoja,baltãvo,,белеть (виднеться белым)
401,51,18,bandýti,bañdo,bañdė,ką?,"пробовать, испытывать, пытаться"
402,,,banguoti,bangúoja,bangãvo,,"волноваться, колыхаться (о волнах)"
403,,,bankrutuoti,bankrutúoja,bankrutãvo,,банкротиться
404,,,barškinti,bárškina,bárškino,,"греметь, стучать"
405,,,barstyti,barsto,barstė,ką?,разбрасывать
406,,,barstytis,bar̃stosi,bar̃stėsi,,"рассыпаться, разбрасываться (о себе)"
407,,,barti,bãra,bãrė,,ругать
408,,,bartis,bãrasi,bãrėsi,,ругаться (друг с другом)
409,,,bauginti,baugìna,baugìno,,"пугать, устрашать"
410,,,bausti,baũdžia,baũdė,,наказывать
411,,,bėginėti,bėginė́ja,bėginė́jo,,"бегать (многократно, туда-сюда)"
412,52,19,bėgióti,bėgiója,bėgiójo,po ką?,бегать
413,53,20,bė́gti,bė́ga,bė́go,kuo?,бежать
414,,,belsti,béldžia,béldė,,стучать
415,,,belstis,béldžiasi,béldėsi,,стучаться
416,,,bendradarbiauti,bendradarbiáuja,bendradarbiãvo,,сотрудничать
417,,,bendrauti,bendráuja,bendrãvo,,общаться
418,,,bepridurti,bepriduria,bepridūrė,,"не прибавлять, не добавлять"
419,,,berti,bẽria,bė́rė,,"сыпать, насыпать"
420,,,besti,bẽda,bẽdė,,"ткнуть, кольнуть"
421,,,beveikti,beviekia,bèveikė,,"бездействовать, ничего не делать"
422,,,bezdėti,bezda,bezdėjo,,пердеть
423,,,bidzenti,bidzena,bidzeno,,"семенить, топать мелкими шагами"
424,54,21,bijóti,bìjo,bijójo,ko?,бояться
425,,,birbti,bir̃bia,bir̃bė,,"жужжать, гудеть (о моторе, пчеле)"
426,,,birti,bỹra,bìro,,"сыпаться, осыпаться"
427,,,bjaurėtis,bjaũrisi,bjaurė́josi,,"брезговать, гнушаться"
428,,,bjurti,bjursta,bjùro,,"портиться (о погоде, настроении), становиться противным"
429,,,blankti,blañksta,blánko,,"блекнуть, тускнеть"
430,,,blaškyti,blãško,blãškė,,"разбрасывать, метать; отвлекать"
431,,,blaškytis,blãškosi,blãškėsi,,"метаться, разбрасываться (о себе); отвлекаться"
432,,,blefuoti,blefuoja,blefavo,,блефовать
433,,,blęsti,bleñdžia,bleñdė,,"сверкать, мерцать (о свете)"
434,,,blizgėti,blìzga,blizgė́jo,,"блестеть, сверкать"
435,,,blizginti,blìzgina,blìzgino,,"полировать, начищать до блеска"
436,,,blogėti,blogė́ja,blogė́jo,,ухудшаться
437,,,bloginti,blõgina,blõgino,,ухудшать
438,,,blogti,blogsta,blõgo,,ухудшаться
439,,,blokšti,blõškia,blõškė,,"швырнуть, бросить (с силой)"
440,,,blokuoti,blokúoja,blokãvo,,блокировать
441,,,blukinti,blùkina,blukino,,"выцвечивать, обесцвечивать"
442,,,blukti,bluñka,blùko,,"выцветать, блекнуть"
443,,,blykšti,blỹkšta,blỹško,,бледнеть
444,,,bodėti,bõdi,bodėjo,,"скучать, надоедать (кому-то)"
445,,,boluoti,bolúoja,bolãvo,,"белеть (виднеться белым, вдалеке)"
446,,,bombarduoti,bombardúoja,bombardãvo,,бомбардировать
447,,,braidyti,braĩdo,braĩdė,,"бродить (по воде, грязи), шлепать"
448,,,braižyti,braĩžo,braĩžė,,"царапать, чертить"
449,,,brandinti,brandìna,brandìno,,"созревать (что-то), выдерживать (вино)"
450,,,branginti,brangìna,brangìno,,"дорожить, ценить; удорожать"
451,,,brangti,brángsta,brángo,,дорожать
452,,,braukti,braũkia,braũkė,,"проводить (линию), гладить (слегка); вычеркивать"
453,,,braukyti,braũko,braũkė,,"проводить (многократно), поглаживать"
454,,,brautis,bráunasi,bróvėsi,,"пробираться, проталкиваться"
455,,,brazdėti,brãzda,brazdė́jo,,"скрежетать, скрипеть"
456,,,bręsti,brę́sta,bréndo,,созревать
457,,,brėžti,brė́žia,brė́žė,,"чертить, начертить"
458,,,brinkti,brìnksta,brìnko,,"опухать, набухать"
459,,,bristi,breñda,brìdo,,"брести (по воде, снегу)"
460,,,brukti,brunka,brùko,,"впихивать, навязывать"
461,,,brūžinti,brū́žina,brū́žino,,"тереть, натирать"
462,55,22,bučiúoti,bučiúoja,bučiãvo,ką?,целовать
463,56,23,bučiúotis,bučiúojasi,bučiãvosi,,целоваться
464,,,budėti,bùdi,budė́jo,,"бодрствовать, дежурить"
465,,,budinti,bùdina,bùdino,,"будить, дежурить (кого-то)"
466,,,būgštauti,būgštauja,bū́gštavo,,"опасаться, тревожиться"
467,,,bujoti,bujója,bujójo,,"буйно расти, процветать"
468,,,burbėti,bùrba,burbė́jo,,"бормотать, ворчать"
469,,,burbuliuoti,burbuliúoja,burbuliãvo,,"пузыриться, булькать"
470,,,buriuoti,buriúoja,buriãvo,,"плавать под парусом, ходить под парусом"
471,,,burti,bùria,bū́rė,,"гадать, колдовать"
472,,,busti,buñda,bùdo,,просыпаться
473,57,24,bū́ti,yrà/bū̃na,bùvo,,"быть, являться, находиться"
474,,,buvoti,buvója,buvójo,,"бывать (часто), находиться"
475,,,bylinėtis,bylinė́jasi,bylinė́josi,,"судиться, тяжбиться"
476,,,byloti,bylója,bylójo,,"свидетельствовать, говорить (о чем-то)"
477,,,byrėti,bỹra,byrė́jo,,"сыпаться, осыпаться"
478,,,čežėti,čẽža,čežė́jo,,"шуршать, хрустеть (продолжительно)"
479,,,čežti,čęžta,čežo,,"шуршать, хрустеть"
480,,,čiaudėti,čiáudėja,čiáudėjo,,чихать
481,,,čiauškėti,čiáuška,čiauškė́jo,,"щебетать, болтать"
482,,,čiaužti,čiaužia,čiaužė,,скользить
483,,,čirpėti,čirpa,čirpėjo,,"чирикать, скрипеть"
484,,,cituoti,citúoja,citãvo,,цитировать
485,,,čiulbėti,čiùlba,čiulbė́jo,,"щебетать, петь (о птицах)"
486,,,čiulpti,čiul̃pia,čiul̃pė,,сосать
487,58,25,čiuožinė́ti,čiuožinė́ja,čiuožinė́jo,,кататься на коньках
488,,,čiuožti,čiuožia,čiuožė,kuo?,кататься (на чём?)
489,,,čiupti,čiupa,čiùpo,,"схватить, поймать"
490,,,civilizuoti,civilizuoja,civilizãvo,,цивилизовать
491,,,cypauti,cýpauja,cýpavo,,"пищать (громко, протяжно)"
492,,,cypti,cỹpia,cỹpė,,пищать
493,,,dabinti,dabìna,dabìno,,"украшать, наряжать"
494,,,dailėti,dailėja,dailėjo,,"хорошеть, становиться красивее"
495,59,26,dainúoti,dainúoja,dainãvo,ką?,"петь, исполнять"
496,,,dairytis,daĩrosi,daĩrėsi,,"оглядываться, осматриваться"
497,,,dalinti,dalìna,dalìno,,"делить, раздавать"
498,,,dalintis,dalìnasi,dalìnosi,,делиться
499,,,dalyti,dalìja,dalìjo,,"делить, раздавать"
500,,,dalytis,dalìjasi,dalìjosi,,делиться
501,60,27,dalyváuti,dalyváuja,dalyvãvo,,"участвовать, принимать участие"
502,,,dangstytis,dañgstosi,dañgstėsi,,"прикрываться, скрываться"
503,,,darbuotis,darbúojasi,darbãvosi,,"трудиться, работать"
504,61,28,darýti,dãro,dãrė,ką?,"делать; совершать; поступать; открывать, закрывать"
505,,,daugėti,daugė́ja,daugė́jo,,"увеличиваться (в количестве), становиться больше"
506,,,dauginti,dáugina,daũgino,,"умножать, размножать"
507,,,daugintis,dáuginasi,dáuginosi,,размножаться
508,,,daužinėti,daužinėja,daužinėjo,,"бить, колотить (многократно)"
509,,,daužti,daũžia,daũžė,,"бить, ударять"
510,,,daužyti,daũžo,daũžė,,"бить, колотить (многократно)"
511,,,davinėti,davinė́ja,davinė́jo,,"давать (многократно), раздавать"
512,63,29,dažýti,dãžo,dãžė,ką?,красить
513,64,30,dažýtis,dãžosi,dãžėsi,ką?,краситься
514,,,deaktivuoti,deaktyvuoja,deaktyvavo,,деактивировать
515,,,dedikuoti,dedikúoja,dedikãvo,,посвящать
516,,,deginti,dẽgina,dẽgino,,"жечь, сжигать"
517,,,degintis,dẽginasi,dẽginosi,,загорать
518,65,31,dègti,dẽga,dẽgė,ką?,"гореть; жечь, зажигать"
519,,,dejuoti,dejúoja,dejãvo,,стонать
520,,,deklaruoti,deklarúoja,deklarãvo,,декларировать
521,,,dekoruoti,dekorúoja,dekorãvo,,"декорировать, украшать"
522,66,32,dėkóti,dėkója,dėkójo,ką?,благодарить
523,,,dėlioti,dėliója,dėliójo,,"раскладывать, расставлять"
524,,,delsti,del̃sia,del̃sė,,"медлить, задерживаться"
525,,,dėmėti,dėmėja,dėmėjo,,"пятнать, пачкать"
526,,,demonstruoti,demonstrúoja,demonstrãvo,,демонстрировать
527,,,dengti,deñgia,deñgė,,"покрывать, накрывать"
528,,,deportuoti,deportúoja,deportãvo,,депортировать
529,,,derėti,dẽra,derė́jo,,"подходить, соответствовать; давать урожай"
530,,,derėtis,derasi,derėjosi,dėl ko?,договариваться
531,,,dergti,dérgia,dérgė,,"пачкать, марать; сквернословить"
532,,,derinti,dẽrina,dẽrino,,"согласовывать, гармонизировать"
533,,,derintis,dẽrinasi,dẽrinosi,,"согласовываться, приспосабливаться"
534,67,33,dė́styti,dė́sto,dė́stė,ką?,"преподавать, излагать"
535,68,34,dė́ti,dẽda,dė́jo,ką? / ko?,класть
536,,,dėtis,dẽdasi,dė́josi,,"деваться, притворяться"
537,,,devalvuoti,devalvúoja,devalvãvo,,девальвировать
538,69,35,dėvė́ti,dėṽi,dėvė́jo,ką? / kuo?,носить (одежду)
539,,,dėvėtis,dė̃visi,dėvė́josi,,изнашиваться (об одежде)
540,,,diagnozuoti,diagnozúoja,diagnozãvo,,диагностировать
541,70,36,didė́ti,didė́ja,didė́jo,,"увеличиваться, нарастать, возрастать, повышаться"
542,,,didinti,dìdina,dìdino,,увеличивать
543,,,didžiuotis,didžiúojasi,didžiãvosi,,гордиться
544,,,dienoti,dienója,dienójo,,"дневать, проводить день"
545,,,dievagotis,dievagójasi,dievagójosi,,"божиться, клясться Богом"
546,,,dievinti,diẽvina,diẽvino,,"боготворить, обожать"
547,,,diktuoti,diktúoja,diktãvo,,диктовать
548,,,dilti,dỹla,dìlo,,"стираться, изнашиваться"
549,,,dingti,diñgsta,diñgo,,"исчезнуть, пропасть"
550,,,dirbinėti,dirbinė́ja,dirbinė́jo,,"работать (усердно, многократно)"
551,71,37,dìrbti,dìrba,dìrbo,ką?,"работать,трудиться"
552,,,dirbtis,dìrbasi,dirbosi,,"работать (о себе, о процессе)"
553,,,direktoriauti,direktoriáuja,direktoriãvo,,"быть директором, руководить"
554,,,dirginti,dìrgina,dìrgino,,раздражать
555,,,dirgti,dirgsta,dirgo,,раздражаться
556,,,diriguoti,dirigúoja,dirigãvo,,дирижировать
557,,,dirstelėti,dirstelėja,dìrstelėjo,,"взглянуть, бросить взгляд"
558,,,dirti,dìria,dýrė,,"драть, сдирать"
559,,,diskutuoti,diskutúoja,diskutãvo,,"дискутировать, обсуждать"
560,,,dobti,dóbia,dobė,,"долбить, выдалбливать"
561,72,38,domė́tis,dõmisi,domė́josi,kuo?,интересоваться
562,,,dominti,dõmina,dõmino,,интересовать
563,,,dominuoti,dominúoja,dominãvo,,доминировать
564,,,doroti,dorója,dorójo,,"обрабатывать, разделывать; расправляться"
565,,,dorotis,dorójasi,dorójosi,,"справляться, расправляться (с кем-то)"
566,73,39,dovanóti,dovanója,dovanójo,ką? / kam?,"дарить; простить, прощать, извинить, извинять"
567,,,drabstyti,drãbsto,drãbstė,,"разбрасывать, разбрызгивать"
568,,,dramatizuoti,dramatizúoja,dramatizãvo,,драматизировать
569,,,drąsinti,drą́sina,drą́sino,,"ободрять, подбадривать"
570,,,draskyti,drãsko,drãskė,,"рвать, раздирать"
571,74,40,draugáuti,draugáuja,draugãvo,,дружить
572,75,41,draũsti,draũdžia,draũdė,ką? / nuo ko?,запрещать; страховать
573,76,42,draũstis,draũdžiasi,draũdėsi,ką?,"страховать, страховаться"
